Date,SPY,BRK-B,UNH,JPM,XOM,AVGO,META,TSLA,LLY,V,MA,MSFT,AAPL,AMZN,NVDA,GOOGL,TRGP,PTC,DECK,ATO,BLDR,SHV,TLT,USO,IAU,MTUM
2020-06-15 00:00:00-04:00,135782700,8105200,4494600,22153600,27929300,29824000,15340300,235458000,3709900,6752700,5932900,32770200,138808800,77302000,400004000,30468000,3841500,503400,2248200,1540100,1064500,1795600,7759800,8642100,10041100,757500
2020-06-16 00:00:00-04:00,137627500,9407600,4245400,22193600,26203400,30387000,15236700,210766500,15029300,11057200,4013100,42556700,165428800,71712000,535716000,30648000,3932500,692900,2070600,1206700,925500,4543000,13698900,11803900,8347750,862500
2020-06-17 00:00:00-04:00,83398900,6448500,2538000,15639800,19279400,20279000,19578100,148362000,4711200,5968900,2566400,25687800,114406400,59186000,408304000,30610000,2549800,624500,2887200,569900,488800,1681300,7113900,7388800,7998150,815200
2020-06-18 00:00:00-04:00,80828700,4920900,2926600,16591900,21478700,33625000,15782500,146278500,3631600,5803200,2776600,23061600,96820400,49756000,254408000,34862000,2302100,426600,3881400,564400,530000,2586800,7691400,6278300,6904800,526100
2020-06-19 00:00:00-04:00,135549600,8767900,5172800,40371200,48899900,58465000,30081300,130195500,6004900,11483300,4533500,44441100,264476000,115540000,524160000,52784000,4963400,880900,3540000,2081700,1009100,1812600,8565500,13501000,9524350,1173600
2020-06-22 00:00:00-04:00,74649400,5816900,2174100,16216900,17565400,27195000,18917800,95436000,2647300,6674500,3489200,32818900,135445200,64176000,398468000,29442000,2884500,412600,1778400,670400,970100,1540800,9319700,8862100,14800850,538800
2020-06-23 00:00:00-04:00,68471200,6378100,4023400,15381400,18916600,22419000,24017900,95479500,2771500,9866800,3801500,30917400,212155600,84634000,375108000,37752000,2670800,617800,1917000,1040100,666700,1444800,9088600,7358700,14989000,434100
2020-06-24 00:00:00-04:00,132813500,8081200,3399900,22919800,27626900,19096000,20834900,164394000,3096000,9453100,5086000,36740600,192623200,90532000,449372000,31592000,3057700,566800,2988600,1549000,825400,1983000,11436500,11101100,16089850,734100
2020-06-25 00:00:00-04:00,89468000,6380000,3112500,25743600,19353600,15029000,18704300,138817500,3735400,9936600,3294800,27803900,137522400,59374000,376072000,23958000,2185300,625700,1796400,1119900,1126300,1187200,10968000,8768600,11886050,609300
2020-06-26 00:00:00-04:00,127961000,14772100,5043200,41896300,31518600,31425000,76343900,132823500,5290400,11836000,4922500,54675800,205256800,130016000,592084000,97640000,4622300,1006700,2649600,2046600,1617400,2886500,12119300,5255000,12237000,820000
2020-06-29 00:00:00-04:00,79773300,5218200,2356700,18499700,17052100,14516000,58514300,135396000,2640300,8020400,3642200,26701600,130646000,84468000,342248000,45074000,2427900,683400,2221800,726000,991800,2137000,7274400,6966500,6796050,499200
2020-06-30 00:00:00-04:00,113394800,6763800,2932900,19137000,22153600,25125000,33927100,253777500,3296300,9040100,4283500,34310300,140223200,75394000,367892000,40286000,4051000,975000,1714800,926600,961800,2605700,14841700,5840600,11560400,602600
2020-07-01 00:00:00-04:00,72396500,4619800,2303800,18755700,17290100,15661000,43399700,199903500,2065100,6394100,3801300,32061200,110737200,127268000,326648000,42182000,2977900,801100,2030400,606200,844900,1777800,13181000,6960400,14562100,674300
2020-07-02 00:00:00-04:00,69344200,5163100,1971700,27845600,18216600,16638000,30633600,258751500,1960200,6299300,3290100,29315800,114041600,131868000,364056000,57218000,2074300,709600,1338000,405800,694800,2664500,7599800,5545500,8779150,645800
2020-07-06 00:00:00-04:00,61713800,6443300,2395000,18625300,22692000,17561000,26206200,308548500,2760100,7292200,3013300,31897600,118655600,137612000,315892000,44712000,4795800,691600,1849800,730000,568400,2404900,7972700,6146000,10914750,582000
2020-07-07 00:00:00-04:00,82910000,4952100,2075700,25757200,17407600,16150000,27887800,322345500,3273300,7660100,3633100,33600700,112424400,105150000,357800000,42364000,4258700,744700,1813200,655000,694600,3687400,12791900,4674500,12426150,740300
2020-07-08 00:00:00-04:00,54638600,5547800,1987400,18762200,18291400,18023000,29791300,244669500,2781800,8368000,4115000,33600000,117092000,100752000,365480000,31766000,3807900,625200,1479600,619200,1132900,2641800,7253900,4676500,15767000,954600
2020-07-09 00:00:00-04:00,83354200,5420600,3061700,25600800,25882000,25225000,22174900,175764000,2955200,8548200,5042800,33121700,125642800,127774000,494548000,41836000,2320400,1678300,2688600,819000,1034300,1418300,13373100,5602300,12714850,487700
2020-07-10 00:00:00-04:00,57550400,5482300,2391600,28954200,18951000,13280000,22982700,350064000,2245100,7674200,3030900,26177600,90257200,109720000,497676000,35918000,3051300,782200,1560600,498300,820300,1663000,8478000,5432400,9688600,561800
2020-07-13 00:00:00-04:00,102997500,7885600,4263300,32079200,20028300,21549000,24674900,584781000,3455600,8564100,4853700,38135600,191649200,154408000,457076000,42954000,2911800,782800,1740000,743200,835600,1264800,8054000,6540200,11094950,999900
2020-07-14 00:00:00-04:00,93657000,14683400,4234900,42731700,21444100,18363000,23378100,351271500,2642900,8003900,4795900,37591800,170989200,144638000,542676000,38108000,3085900,1226500,1954200,764400,1100300,1314000,11344600,5057500,10706350,954100
2020-07-15 00:00:00-04:00,87196500,7558200,5116900,22508400,17332400,15253000,19133600,245517000,2346200,7681100,5257300,32179400,153198000,115778000,403984000,31026000,2794800,568500,2594400,667700,1188900,4655600,7840300,7041200,8886300,585400
2020-07-16 00:00:00-04:00,54622500,4771300,3844500,16886900,14673700,12929000,18880700,214512000,1486800,5064000,3312100,29940700,110577600,127884000,344964000,26484000,2319700,1066200,1966800,555700,908400,1482600,9107400,3240400,12523950,674200
2020-07-17 00:00:00-04:00,62774900,5186800,3016500,16137700,17958900,13354000,18152400,139950000,2935800,6395000,3169800,31635300,92186800,95226000,266284000,34264000,2266500,768300,1433400,645500,515300,1224400,8549900,3570200,14071050,567000
2020-07-20 00:00:00-04:00,56308800,4089400,2375500,14458100,18553900,14323000,20872200,256821000,1806200,6985300,5279400,36884800,90318000,151964000,284852000,30166000,1371500,589000,1611600,920000,394500,1461000,6907200,3863800,8943000,518300
2020-07-21 00:00:00-04:00,57292200,5256300,2340200,17798100,28821800,14312000,19364200,241608000,1540700,7218700,3562100,37990400,103433200,122426000,277036000,27486000,2893800,642700,1896600,681300,751300,2564200,8454400,8338300,14219800,552400
2020-07-22 00:00:00-04:00,57792900,4182700,1935800,14271200,21345400,14404000,15427900,212416500,1686500,6823400,3303100,49605700,89001600,82084000,367292000,24482000,1836800,408000,2767200,697400,788500,1957100,6592100,3925800,15705150,395000
2020-07-23 00:00:00-04:00,75738000,6036800,2367700,12870200,17934400,19417000,21771800,364927500,2408800,6106700,3118500,67457000,197004400,113138000,411660000,33910000,1910500,624500,2458200,800600,1020500,1512100,10471800,5925100,17580900,516100
2020-07-24 00:00:00-04:00,73766600,5140800,2415700,12744200,16415300,15631000,18325800,290949000,2247900,7160300,2500300,39827000,185438800,112648000,473292000,29902000,1283600,702000,1729800,648800,737500,2055400,7520700,4947500,13121450,669600
2020-07-27 00:00:00-04:00,48293000,4309100,2060500,11959100,18547900,20646000,13163100,240730500,2709700,5604700,2311600,30160900,121214000,83410000,292132000,27124000,1717400,623800,2818200,641400,915800,1595600,6146400,6268500,19714700,442200
2020-07-28 00:00:00-04:00,57495000,4412300,2257400,11754300,19190500,13974000,14170100,237130500,3483100,6897300,2116300,23251400,103625600,62534000,271636000,30910000,1753300,610100,2104800,819100,1482900,1161900,8520700,4423700,27954550,437500
2020-07-29 00:00:00-04:00,48454200,4067300,2672700,12743500,14143200,16562000,13588300,141403500,3108900,9471300,3542400,19632600,90329200,59482000,284508000,22676000,1727100,608500,2434200,910400,970300,2962500,6733700,3114500,21119200,583600
2020-07-30 00:00:00-04:00,61861700,4819600,2205300,14834800,29901100,21259000,20615300,114315000,6638100,10499400,3941600,25079600,158130000,122566000,308880000,36042000,1685200,1270100,2728200,566100,964300,1185800,9376100,10024400,10454550,635000
2020-07-31 00:00:00-04:00,84986800,5936500,3913500,14535000,32116200,24719000,53005100,183123000,5342700,14180800,4684400,51044000,374336800,161710000,386080000,91468000,3048100,994100,3558600,1333400,2599000,1690700,8886000,5026800,13232150,511000
2020-08-03 00:00:00-04:00,53077900,6251000,2628500,12962800,23033600,20796000,23124900,132139500,3615000,11405200,3907800,78983000,308151200,101494000,412720000,45482000,1618500,693300,2371800,543700,2525700,2182500,9066200,5893900,11429550,643500
2020-08-04 00:00:00-04:00,41917900,3838800,3594900,13366200,17724000,25258000,17183500,126225000,3260000,8204000,3409200,49280100,173071600,93886000,310336000,37212000,1910500,562800,3538800,754600,1429100,2050500,9878900,7706300,16765950,714200
2020-08-05 00:00:00-04:00,42697700,5184500,2982200,15260900,17175100,22299000,13050100,74217000,2386400,8876800,5677200,28806400,121776800,78330000,249924000,29134000,3152200,481800,1688400,820800,1316000,1864400,6954100,9088300,16695350,589400
2020-08-06 00:00:00-04:00,43679400,3380700,3305300,10482100,14434900,14193000,45241600,89884500,2176200,7480300,4839800,32656800,202428800,78812000,244316000,33306000,3035000,542100,1630800,717700,966800,1612700,9481800,4339800,14184850,392200
2020-08-07 00:00:00-04:00,57308300,6186000,2600800,14743700,18757900,14192000,72766400,133446000,2017100,5654000,3662500,27820400,198045600,78722000,342516000,27718000,2631300,533700,1303200,567500,918700,1436500,8176900,4867900,17351100,672800
2020-08-10 00:00:00-04:00,44282100,6633800,2563600,14989900,24367800,11989000,30248800,112834500,1745200,5525400,3752100,36716500,212403600,63346000,427796000,20546000,2193900,417200,2639400,561000,1286600,1533600,6408500,4234800,14043900,1616900
2020-08-11 00:00:00-04:00,69601100,5688200,3018200,31518600,28987500,19316000,28238300,129387000,2103400,11549600,5273300,36446500,187902400,74362000,354512000,31098000,4125500,577900,2445000,695800,1529100,1351500,19234200,5563600,25563550,1772600
2020-08-12 00:00:00-04:00,53774400,4791900,2915800,19240800,22503200,18471000,21415700,327441000,2430400,5432500,3125900,28013100,165598000,70442000,464412000,22512000,2463400,461200,2333400,876000,7462600,1307300,11744800,5305700,19942150,782900
2020-08-13 00:00:00-04:00,41816100,4535600,2159500,13598600,17338700,15095000,17374000,306379500,2077700,7014800,2526700,22588900,210082000,62980000,374460000,22388000,1757600,711300,1176000,658200,6956200,1719800,12744700,3414100,19530900,558700
2020-08-14 00:00:00-04:00,47260400,3441500,1787200,12134400,13595700,10140000,14792700,188664000,1538000,5014400,1444900,17958900,165565200,55034000,366436000,21942000,2047000,551100,1428000,986100,20624100,1788400,6398100,3792900,15715350,396500
2020-08-17 00:00:00-04:00,35481000,5484400,2772500,14988000,15554600,10594000,13351100,303634500,2704700,6256200,2904100,20184800,119561600,53824000,621300000,19990000,2619000,545100,2463600,1075200,2804800,1175000,6901500,4307900,9806850,450200
2020-08-18 00:00:00-04:00,38733900,3500100,2520000,13246500,13014000,8857000,18690400,247117500,1959700,6519900,3021700,21336200,105633600,106920000,503448000,28378000,2799500,839900,2167200,846800,2159000,4399400,8140600,5589500,11341900,916300
2020-08-19 00:00:00-04:00,68054200,5829000,2066700,13533000,14473100,11273000,23291500,183079500,1938800,9467600,3421000,27627600,145538000,83702000,622624000,30472000,2208300,784300,1488600,1088100,1494000,1819200,12497700,3781500,20678700,457400
2020-08-20 00:00:00-04:00,42207800,4133800,2245600,13672600,15678500,8910000,20299700,309177000,1830200,8849200,2966000,26981500,126907200,66650000,921388000,26382000,2764300,440300,1345200,811700,1724400,1468400,10319900,6112100,14067650,353400
2020-08-21 00:00:00-04:00,55106600,4785300,2488500,12228300,25517700,11508000,15538600,322344000,3112000,9998300,2680900,36249300,338054800,71518000,999868000,34838000,2335200,1039700,903000,1912400,1297700,1963900,6836000,6523300,11939650,635700
